Tempo,Empuxo,Pressao
8914,-39.272728,0.000000
8939,-24.311689,0.000000
8963,-31.441559,0.000000
8988,-34.714287,0.000000
9012,-21.038961,0.000000
9037,-27.000002,0.000000
9061,-43.714287,0.000000
9086,-25.597404,0.000000
9110,-30.857143,0.000000
9135,-31.324677,0.000000
9162,-27.000002,0.000000
9189,6.896104,0.000000
9214,-20.337664,0.000000
9238,-34.597404,0.000000
9263,-18.467533,0.000000
9287,-41.376625,0.000000
9312,-43.597404,0.000000
9336,-44.181820,0.000000
9360,-37.402599,0.000000
9385,-33.779221,0.000000
9412,-23.961040,0.000000
9436,-20.922079,0.000000
9461,-30.389612,0.000000
9485,-48.155846,0.000000
9509,-9.350650,0.000000
9534,-44.766235,0.000000
9558,-27.233767,0.000000
9583,-34.012989,0.000000
9607,-39.740261,0.000000
9632,-20.688313,0.000000
9656,-29.922079,0.000000
9681,-46.636364,0.000000
9705,-28.870131,0.000000
9730,-61.480522,0.000000
9754,-29.805197,0.000000
9779,-0.584416,0.000000
9803,-30.623379,0.000000
9828,-54.584419,0.000000
9852,-41.025974,0.000000
9877,-30.740261,0.000000
9906,-53.649353,0.000000
9933,-41.844158,0.000000
9958,-28.402599,0.000000
9983,-30.272728,0.000000
10007,-37.636364,0.000000
10031,-33.194805,0.000000
10056,-30.272728,0.000000
10080,-42.545456,0.000000
10105,-29.571430,0.000000
10129,-20.103897,0.000000
10154,-37.402599,0.000000
10179,-52.012989,0.000000
10203,-52.129871,0.000000
10228,-27.584417,0.000000
10252,-41.493507,0.000000
10276,-21.857143,0.000000
10301,-28.051949,0.000000
10325,-28.285715,0.000000
10350,-25.129871,0.000000
10374,-30.623379,0.000000
10401,-39.740261,0.000000
10425,-33.077923,0.000000
10450,-45.935066,0.000000
10474,-26.649351,0.000000
10498,-35.649353,0.000000
10522,1.870130,0.000000
10547,-23.025974,0.000000
10571,-33.779221,0.000000
10596,-34.012989,0.000000
10620,-34.948051,0.000000
10644,-44.883118,0.000000
10673,-36.000000,0.000000
10698,-42.428574,0.000000
10723,-31.441559,0.000000
10747,-32.376625,0.000000
10771,-8.649351,0.000000
10796,-15.896105,0.000000
10820,-37.519482,0.000000
10844,-27.000002,0.000000
10868,-40.207794,0.000000
10895,-14.259741,0.000000
10919,-55.168835,0.000000
10944,-15.311689,0.000000
10968,-34.012989,0.000000
10992,-36.701302,0.000000
11017,-25.480520,0.000000
11041,-49.558445,0.000000
11065,-29.922079,0.000000
11090,-37.519482,0.000000
11114,-14.259741,0.000000
11138,-14.142858,0.000000
11163,-28.870131,0.000000
11187,-18.116884,0.000000
11211,-38.805195,0.000000
11236,-53.532471,0.000000
11260,-49.207794,0.000000
11284,-4.675325,0.000000
11308,-19.402597,0.000000
11333,-36.584415,0.000000
11357,-24.311689,0.000000
11380,-59.493507,0.000000
11405,-44.415585,0.000000
11434,-12.155845,0.000000
11459,-45.350651,0.000000
11483,-14.961040,0.000000
11508,-29.805197,0.000000
11532,-51.311691,0.000000
11557,-36.350651,0.000000
11581,-32.493507,0.000000
11606,-20.571430,0.000000
11630,-10.051949,0.000000
11655,-8.064936,0.000000
11679,-25.129871,0.000000
11704,-27.350651,0.000000
11728,-45.701302,0.000000
11753,-25.597404,0.000000
11777,-24.077923,0.000000
11802,-21.506495,0.000000
11826,-17.415585,0.000000
11853,-40.792210,0.000000
11877,-32.493507,0.000000
11901,-38.103897,0.000000
11926,-10.636364,0.000000
11950,-34.480522,0.000000
11975,-51.896107,0.000000
11999,-36.467533,0.000000
12024,-42.545456,0.000000
12048,-21.155846,0.000000
12073,-36.701302,0.000000
12097,-31.090910,0.000000
12122,-29.337664,0.000000
12146,-39.155846,0.000000
12173,-33.662338,0.000000
12200,-57.272728,0.000000
12225,-32.259743,0.000000
12249,-20.103897,0.000000
